                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.7912,                 3.4254,                 1.9674,                 2.2702,                0.47598,                0.42834,                0.43367,                0.15248,                0.30556,                0.22248,                0.24784,                 0.0791,                 2.1201,                 3.5683,                 1.8239,                 2.7238,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.8164,                  3.468,                 1.9554,                 2.2684,                0.45335,                0.51637,                0.45104,                0.15716,                0.28684,                0.23257,                 0.2377,                0.07666,                 2.1493,                 3.5505,                 1.8071,                 2.7336,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.8098,                 3.4491,                 1.9701,                 2.2712,                0.45327,                0.45089,                0.40905,                0.14017,                 0.2812,                0.22982,                0.22493,                0.07076,                 2.1517,                 3.5998,                 1.8836,                  2.725,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.7917,                 3.4092,                 1.9654,                 2.2554,                0.48071,                0.47023,                0.42479,                0.15677,                0.31178,                 0.2367,                0.25226,                 0.0801,                 2.0871,                 3.5339,                 1.8007,                 2.6998,               0.008713,               0.008713,               0.008713
                     68,                 1.7899,                 3.4202,                 1.9427,                 2.2619,                0.52688,                0.50212,                0.45357,                0.15896,                0.28392,                0.23624,                0.22735,                0.07348,                 2.0913,                 3.4814,                 1.7952,                  2.684,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.7767,                 3.3771,                 1.9043,                  2.225,                0.51488,                0.41997,                0.42604,                 0.1498,                0.28035,                0.22064,                0.22659,                0.07424,                 2.1308,                 3.5568,                 1.8089,                 2.7086,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.7819,                 3.3841,                 1.9171,                  2.233,                0.50954,                0.48831,                0.44107,                0.15823,                  0.306,                0.22718,                0.24259,                0.08122,                 2.1313,                 3.4586,                 1.7735,                 2.7269,              0.0086536,              0.0086536,              0.0086536
                     71,                  1.784,                 3.3604,                 1.9279,                 2.2405,                0.45114,                0.43122,                0.40486,                0.16112,                0.30796,                0.22523,                 0.2578,                0.09176,                 2.0763,                 3.4942,                 1.7995,                 2.6806,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.7691,                 3.4136,                 1.8848,                 2.2427,                0.45827,                0.47516,                0.42659,                0.16234,                0.30243,                0.24083,                0.25052,                0.08092,                 2.0604,                 3.4526,                 1.7294,                 2.6481,               0.008614,               0.008614,               0.008614
                     73,                 1.7731,                 3.3931,                 1.8933,                 2.2423,                0.51521,                0.38142,                0.41422,                0.14218,                0.31146,                0.21422,                0.23265,                0.07621,                 2.1483,                 3.5235,                 1.8424,                  2.753,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.7768,                 3.3709,                 1.8961,                 2.2168,                 0.5624,                0.45941,                0.48074,                0.17361,                0.29507,                0.23532,                0.24061,                0.07835,                 2.0475,                 3.5279,                 1.7541,                 2.6669,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.7482,                 3.3216,                 1.8473,                 2.2123,                0.49249,                0.43297,                 0.4257,                0.15416,                0.27689,                0.22145,                0.23343,                0.07652,                 2.1638,                  3.659,                 1.8679,                 2.7649,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.7317,                 3.3531,                 1.8621,                 2.2081,                 0.5207,                0.52371,                0.47368,                0.17619,                0.30651,                0.25138,                0.25423,                 0.0842,                 2.0662,                  3.485,                 1.6612,                 2.6825,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.7709,                 3.3289,                 1.8564,                 2.1958,                  0.471,                0.42968,                0.43273,                0.15543,                0.31382,                0.23257,                0.24681,                0.08216,                 2.1231,                 3.5472,                 1.7625,                 2.7029,               0.008515,               0.008515,               0.008515
                     78,                 1.7381,                  3.342,                 1.8348,                 2.2088,                0.52067,                0.45573,                0.47414,                0.17651,                0.30094,                0.24358,                0.25655,                0.08559,                  2.039,                 3.4076,                 1.7127,                 2.6436,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.7435,                 3.3544,                 1.8371,                 2.1969,                0.50074,                 0.4826,                0.47107,                0.18118,                0.31535,                0.24442,                0.25916,                0.09002,                 2.0399,                 3.4035,                 1.6701,                 2.6325,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.7255,                 3.3322,                  1.835,                  2.204,                0.54754,                0.45777,                 0.4891,                0.18106,                0.30933,                0.24266,                 0.2569,                0.08773,                 2.1186,                 3.4719,                 1.7212,                 2.7675,              0.0084556,              0.0084556,              0.0084556
